ㄅㄧˋ	鷝
ㄅㄧˋ	鷩
ㄅㄧˋ	鼊
ㄅㄧˋ	𢕾
ㄅㄧㄝ	*癟
ㄅㄧㄝ	*鷩
ㄅㄧㄝ	㿜
ㄅㄧㄝ	憋
ㄅㄧㄝ	虌
ㄅㄧㄝ	鱉
ㄅㄧㄝ	鼈
ㄅㄧㄝ	龞
ㄅㄧㄝˇ	㿜
ㄅㄧㄝˇ	癟
ㄅㄧㄝˇ	蛂
ㄅㄧㄝˊ	*彆
ㄅㄧㄝˊ	*蛂
ㄅㄧㄝˊ	㧙
ㄅㄧㄝˊ	別
ㄅㄧㄝˊ	别
ㄅㄧㄝˊ	吡
ㄅㄧㄝˊ	咇
ㄅㄧㄝˊ	徶
ㄅㄧㄝˊ	莂
ㄅㄧㄝˊ	蟞
ㄅㄧㄝˊ	襒
ㄅㄧㄝˊ	蹩
ㄅㄧㄝˋ	彆
ㄅㄧㄝˋ	縪
ㄅㄧㄝˋ	蹩
ㄅㄧㄠ	*僄
ㄅㄧㄠ	䮽
ㄅㄧㄠ	儦
ㄅㄧㄠ	嘌
ㄅㄧㄠ	墂
ㄅㄧㄠ	幖
ㄅㄧㄠ	彪
ㄅㄧㄠ	徱
ㄅㄧㄠ	摽
ㄅㄧㄠ	杓
ㄅㄧㄠ	標
ㄅㄧㄠ	滮
ㄅㄧㄠ	瀌
ㄅㄧㄠ	熛
ㄅㄧㄠ	爂
ㄅㄧㄠ	猋
ㄅㄧㄠ	瘭
ㄅㄧㄠ	磦
ㄅㄧㄠ	穮
ㄅㄧㄠ	脿
ㄅㄧㄠ	膘
ㄅㄧㄠ	臕
ㄅㄧㄠ	蔈
ㄅㄧㄠ	藨
ㄅㄧㄠ	虨
ㄅㄧㄠ	謤
ㄅㄧㄠ	贆
ㄅㄧㄠ	鏢
ㄅㄧㄠ	鑣
ㄅㄧㄠ	颩
ㄅㄧㄠ	颮
ㄅㄧㄠ	颷
ㄅㄧㄠ	飆
ㄅㄧㄠ	飇
ㄅㄧㄠ	飈
ㄅㄧㄠ	飊
ㄅㄧㄠ	飍
ㄅㄧㄠ	驫
ㄅㄧㄠ	髟
ㄅㄧㄠ	麃
ㄅㄧㄠ	𢖐
ㄅㄧㄠˇ	俵
ㄅㄧㄠˇ	婊
ㄅㄧㄠˇ	檦
ㄅㄧㄠˇ	表
ㄅㄧㄠˇ	裱
ㄅㄧㄠˇ	褾
ㄅㄧㄠˇ	諘
ㄅㄧㄠˇ	錶
ㄅㄧㄠˋ	*摽
ㄅㄧㄠˋ	鰾
ㄅㄧㄢ	揙
ㄅㄧㄢ	柉
ㄅㄧㄢ	楄
ㄅㄧㄢ	煸
ㄅㄧㄢ	牑
ㄅㄧㄢ	猵
ㄅㄧㄢ	獱
ㄅㄧㄢ	甂
ㄅㄧㄢ	砭
ㄅㄧㄢ	稨
ㄅㄧㄢ	箯
ㄅㄧㄢ	籩
ㄅㄧㄢ	編
ㄅㄧㄢ	蝙
ㄅㄧㄢ	边
ㄅㄧㄢ	邉
ㄅㄧㄢ	邊
ㄅㄧㄢ	鍽
ㄅㄧㄢ	鞭
ㄅㄧㄢ	鯾
ㄅㄧㄢ	鯿
ㄅㄧㄢˇ	*砭
ㄅㄧㄢˇ	*蝙
ㄅㄧㄢˇ	*鴘
ㄅㄧㄢˇ	匾
ㄅㄧㄢˇ	惼
ㄅㄧㄢˇ	扁
ㄅㄧㄢˇ	揙
ㄅㄧㄢˇ	碥
ㄅㄧㄢˇ	稨
ㄅㄧㄢˇ	窆
ㄅㄧㄢˇ	糄
ㄅㄧㄢˇ	萹
ㄅㄧㄢˇ	藊
ㄅㄧㄢˇ	褊
ㄅㄧㄢˇ	貶
ㄅㄧㄢˋ	便
ㄅㄧㄢˋ	卞
ㄅㄧㄢˋ	変
